representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,hinge,7,pair_accuracy,0.7979587019483262,0.7910781158525242,-0.00688058609580207,-0.007997678744855305,-0.005916839441479503,0,11,True
clip-vit-b32,hinge,7,mae,1.1594876359809527,1.2323269204659897,0.07283928448503671,0.028062260895967455,0.15789392342621641,0,11,False
clip-vit-b32,hinge,7,r2,0.6473333069875781,0.61607559729026,-0.031257709697318135,-0.03471429828847747,-0.027853662316420568,0,11,True
clip-vit-b32,hinge,7,pearson,0.809644716907098,0.7849198376014974,-0.024724879305600665,-0.02705783070463648,-0.02227324978678443,0,11,True
clip-vit-b32,hinge,7,spearman,0.7748229324120829,0.7631851601184192,-0.011637772293663584,-0.013988799292327922,-0.00947805643751511,0,11,True
clip-vit-b32,hinge,7,kendall,0.5886122621843872,0.5758825077289833,-0.01272975445540389,-0.014955541638784733,-0.010637802273450877,0,11,True
clip-vit-b32,hinge,8,pair_accuracy,0.7979587019483262,0.7917574536304666,-0.006201248317859862,-0.007461236735216354,-0.005007099069536642,0,11,True
clip-vit-b32,hinge,8,mae,1.1594876359809527,1.2261828357523137,0.06669519977136097,0.023686213073405345,0.1480244048210709,0,11,False
clip-vit-b32,hinge,8,r2,0.6473333069875781,0.6196057249461938,-0.02772758204138439,-0.03166486016982425,-0.023768615328460845,0,11,True
clip-vit-b32,hinge,8,pearson,0.809644716907098,0.7871006757699263,-0.02254404113717187,-0.025522635959260135,-0.01992761300607578,0,11,True
clip-vit-b32,hinge,8,spearman,0.7748229324120829,0.7657274747741447,-0.009095457637938155,-0.011878911526648878,-0.0067770077238977055,0,11,True
clip-vit-b32,hinge,8,kendall,0.5886122621843872,0.5788078268842156,-0.009804435300171459,-0.012237971563030014,-0.007664715801996292,0,11,True
clip-vit-b32,hinge,9,pair_accuracy,0.7979587019483262,0.7915057285554561,-0.006452973392870179,-0.008478839678697218,-0.0040813581152356415,1,11,True
clip-vit-b32,hinge,9,mae,1.1594876359809527,1.2298120330680502,0.07032439708709717,0.022324355827136478,0.15886389606378293,0,11,False
clip-vit-b32,hinge,9,r2,0.6473333069875781,0.6206279844223206,-0.026705322565257535,-0.03196101337338427,-0.020757495801754497,0,11,True
clip-vit-b32,hinge,9,pearson,0.809644716907098,0.7879181842147042,-0.021726532692394017,-0.024800125948009313,-0.01857463739009235,0,11,True
clip-vit-b32,hinge,9,spearman,0.7748229324120829,0.7660871850095545,-0.00873574740252838,-0.011879069710800376,-0.006212440445751319,0,11,True
clip-vit-b32,hinge,9,kendall,0.5886122621843872,0.5789154984851993,-0.009696763699187845,-0.012268867025025132,-0.007412769431995369,0,11,True
clip-vit-b32,hinge,10,pair_accuracy,0.7979587019483262,0.7919781526437124,-0.005980549304613881,-0.007325903941282277,-0.004043238049675175,1,11,True
clip-vit-b32,hinge,10,mae,1.1594876359809527,1.2329191549257799,0.07343151894482701,0.02416614352302116,0.1649204826490446,0,11,False
clip-vit-b32,hinge,10,r2,0.6473333069875781,0.6179762057476623,-0.029357101239915792,-0.03428949686528822,-0.023348638638871058,0,11,True
clip-vit-b32,hinge,10,pearson,0.809644716907098,0.7861695479631545,-0.023475168943943636,-0.02646596213025041,-0.020196812742556733,0,11,True
clip-vit-b32,hinge,10,spearman,0.7748229324120829,0.763880879112738,-0.010942053299344895,-0.013078278880010336,-0.008782643500367435,0,11,True
clip-vit-b32,hinge,10,kendall,0.5886122621843872,0.576896113336766,-0.011716148847621217,-0.013796434444215237,-0.009490291673419566,0,11,True
clip-vit-b32,bradley_terry,1,pair_accuracy,0.7979587019483262,0.7842469865347802,-0.013711715413546129,-0.014978536610095464,-0.012426920755473837,0,11,True
clip-vit-b32,bradley_terry,1,mae,1.1594876359809527,1.261132495511662,0.10164485953070902,0.04184266312555833,0.2155621221255172,0,11,False
clip-vit-b32,bradley_terry,1,r2,0.6473333069875781,0.5984053114288069,-0.048927995558771316,-0.05280387949159656,-0.044984986221370454,0,11,True
clip-vit-b32,bradley_terry,1,pearson,0.809644716907098,0.7735106739085491,-0.036134042998548895,-0.03942991598203834,-0.03334165626260921,0,11,True
clip-vit-b32,bradley_terry,1,spearman,0.7748229324120829,0.7512773536747019,-0.023545578737380876,-0.02552203594949967,-0.02138031887580787,0,11,True
clip-vit-b32,bradley_terry,1,kendall,0.5886122621843872,0.5630692144737206,-0.025543047710666577,-0.02722320013300825,-0.023694969801595887,0,11,True
clip-vit-b32,bradley_terry,2,pair_accuracy,0.7979587019483262,0.788871703509896,-0.009086998438430305,-0.010708388683515967,-0.007540467889968434,0,11,True
clip-vit-b32,bradley_terry,2,mae,1.1594876359809527,1.2261356798085299,0.06664804382757711,0.028617349036715253,0.13760623770681302,0,11,False
clip-vit-b32,bradley_terry,2,r2,0.6473333069875781,0.6140572992043096,-0.03327600778326844,-0.03710574723845847,-0.02915432215062869,0,11,True
clip-vit-b32,bradley_terry,2,pearson,0.809644716907098,0.7836143933847874,-0.026030323522310776,-0.02899973801621738,-0.02321762574474032,0,11,True
clip-vit-b32,bradley_terry,2,spearman,0.7748229324120829,0.758859214964674,-0.015963717447408706,-0.018556932548246495,-0.013682811984616568,0,11,True
clip-vit-b32,bradley_terry,2,kendall,0.5886122621843872,0.5708890829918706,-0.017723179192516526,-0.020130165739779163,-0.015587435121703713,0,11,True
clip-vit-b32,bradley_terry,3,pair_accuracy,0.7979587019483262,0.7895864641130846,-0.008372237835241637,-0.009445223577537751,-0.0071725725259815624,0,11,True
