task,category,target,mode,objective,N,pearson,spearman,pair_accuracy
Abstract Liking,abstract,liking,cross,bradley_terry,10,0.04081440023261165,0.03330346119567164,0.5133417721518988
Abstract Liking,abstract,liking,cross,hinge,1,0.01975671786484043,0.010734727718180646,0.5065316455696203
Abstract Liking,abstract,liking,cross,hinge,2,0.019425670289347184,0.009833719350749996,0.5052405063291139
Abstract Liking,abstract,liking,cross,hinge,3,0.027190610415414086,0.020911431221118378,0.5099493670886076
Abstract Liking,abstract,liking,cross,hinge,4,0.02644778273827228,0.015003814516601354,0.504759493670886
Abstract Liking,abstract,liking,cross,hinge,5,0.039064291347799554,0.030885875029209697,0.5113670886075949
Abstract Liking,abstract,liking,cross,hinge,6,0.03655610762619063,0.028245651700861713,0.5117974683544304
Abstract Liking,abstract,liking,cross,hinge,7,0.030104252232054013,0.02127416229734144,0.5068101265822784
Abstract Liking,abstract,liking,cross,hinge,8,0.0332941320693611,0.02568434105357842,0.512
Abstract Liking,abstract,liking,cross,hinge,9,0.04207443456198781,0.03270497279159447,0.5134936708860759
Abstract Liking,abstract,liking,cross,hinge,10,0.03871062310391949,0.029863072015304665,0.5135949367088607
Abstract Liking,abstract,liking,cross,regression,0,0.028514068944064087,0.014115513328956022,0.5070886075949367
Abstract Liking,abstract,liking,within,bradley_terry,1,0.22387375413708838,0.21496260047420432,0.586379746835443
Abstract Liking,abstract,liking,within,bradley_terry,2,0.23932881854112564,0.23334159566658508,0.5908354430379746
Abstract Liking,abstract,liking,within,bradley_terry,3,0.23817734295612206,0.22954271375475957,0.5904303797468354
Abstract Liking,abstract,liking,within,bradley_terry,4,0.24424617725043846,0.23823815718670058,0.5942784810126582
Abstract Liking,abstract,liking,within,bradley_terry,5,0.26486033434640377,0.25638145549207964,0.6022784810126582
Abstract Liking,abstract,liking,within,bradley_terry,6,0.25598248342619484,0.25015667696688465,0.5991139240506329
Abstract Liking,abstract,liking,within,bradley_terry,7,0.25882752972474005,0.2508298030147811,0.5984050632911392
Abstract Liking,abstract,liking,within,bradley_terry,8,0.2401954528103508,0.23396153084034674,0.589139240506329
Abstract Liking,abstract,liking,within,bradley_terry,9,0.25749656622091605,0.2515394493769027,0.6038227848101265
Abstract Liking,abstract,liking,within,bradley_terry,10,0.2502631109334817,0.24339942239386772,0.5945822784810126
