dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,6,1,140,20,78,840,100,780,16,0.5884615384615385,1.7384215593338013,4.0943121910095215,0.03915928555124981,0.31009771493063454,0.25917018832856137,0.18777328487592557
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,7,1,140,20,78,980,100,780,17,0.6410256410256411,1.673911213874817,3.932551383972168,0.07712080077229377,0.3414767439917341,0.3332060377500349,0.25190837268933464
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,8,1,140,20,78,1120,100,780,16,0.5974358974358974,1.7596204280853271,4.147440433502197,0.026691134442356046,0.2487604305106288,0.22844435263250543,0.17067059479234978
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,9,1,140,20,78,1260,100,780,16,0.6371794871794871,1.6648595333099365,3.867314577102661,0.09243031301558946,0.36019129341002554,0.3174917849824055,0.23266784634531193
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,10,1,140,20,78,1400,100,780,16,0.5833333333333334,1.721274733543396,3.9842591285705566,0.06498618295286185,0.30153015952237183,0.2057417289186213,0.1492922321878801
sidhu,clip-vit-b32,abstract,beauty,within,4,regression,,2,140,20,78,0,0,780,56,0.5858974358974359,1.8983886241912842,5.523390769958496,-0.22264178324279227,0.20479425015946617,0.21171700450254624,0.15401231008826197
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,1,2,140,20,78,140,20,780,17,0.5371794871794872,1.8267345428466797,4.719309329986572,-0.04465278855918475,0.19934488772560144,0.12510782661621123,0.09055353417226514
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,2,2,140,20,78,280,40,780,16,0.6012820512820513,1.77194344997406,4.446207523345947,0.0158003873372643,0.3179450191746582,0.27069202616245625,0.19608048738088907
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,3,2,140,20,78,420,60,780,16,0.5538461538461539,1.8199560642242432,4.51734733581543,5.307287725297982e-05,0.25272179791500093,0.18550162317951302,0.14046493096012783
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,4,2,140,20,78,560,80,780,17,0.5397435897435897,1.9370059967041016,5.302046775817871,-0.17364573819684082,0.16688309935489087,0.13516706849881832,0.09411863394282675
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,5,2,140,20,78,700,100,780,17,0.5333333333333333,1.9084404706954956,5.141879081726074,-0.1381913928219356,0.10607299338698795,0.08761893660136166,0.06916293554889542
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,6,2,140,20,78,840,100,780,18,0.5384615384615384,1.8368587493896484,4.641207695007324,-0.027364230966200775,0.2564858093246585,0.17684837444441137,0.12335245206143204
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,7,2,140,20,78,980,100,780,16,0.5538461538461539,1.889388084411621,4.906039714813232,-0.08598692830485488,0.14361291258683195,0.08697984880704102,0.06987595550300775
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,8,2,140,20,78,1120,100,780,19,0.5717948717948718,1.8650673627853394,4.72922420501709,-0.046847373891997446,0.23691653424612014,0.16381098344027,0.1190743323367581
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,9,2,140,20,78,1260,100,780,19,0.5423076923076923,1.868774652481079,4.837782859802246,-0.07087752954277504,0.15208327180152992,0.07706120623918446,0.05846763623721057
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,10,2,140,20,78,1400,100,780,16,0.5243589743589744,1.833985686302185,4.664091110229492,-0.03242973965705054,0.12496333956369199,0.08553551039187635,0.062032736007772184
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,1,2,140,20,78,140,20,780,16,0.5307692307692308,1.850124478340149,4.846134185791016,-0.07272636700228174,0.18187068500265013,0.10654871706913943,0.08413635458525422
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,2,2,140,20,78,280,40,780,16,0.5935897435897436,1.7852202653884888,4.442272663116455,0.016671391584854978,0.30350893750801333,0.2251506299391664,0.1639945894458345
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,3,2,140,20,78,420,60,780,16,0.5397435897435897,1.8204424381256104,4.55420446395874,-0.008105523027916783,0.22631478399125626,0.15468480973737112,0.11265715274974718
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,4,2,140,20,78,560,80,780,16,0.5615384615384615,1.8264425992965698,4.620504379272461,-0.022781584561816448,0.19774977738416055,0.14851122164423358,0.10980507293329789
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,5,2,140,20,78,700,100,780,16,0.5884615384615385,1.8333820104599,4.638906002044678,-0.026854707261248834,0.237453059589825,0.18621740150915214,0.14403003073068943
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,6,2,140,20,78,840,100,780,16,0.5384615384615384,1.8559881448745728,4.685526371002197,-0.03717450455877369,0.2313714014735524,0.1714033464367994,0.12121339219909508
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,7,2,140,20,78,980,100,780,16,0.55,1.8686825037002563,4.874698638916016,-0.07904927160928832,0.1700672438564652,0.10610135561311497,0.0805712548146926
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,8,2,140,20,78,1120,100,780,16,0.5230769230769231,1.914567232131958,5.030620098114014,-0.11356347366386665,0.01898842040100135,0.01186146946259134,0.014260399082246479
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,9,2,140,20,78,1260,100,780,16,0.5384615384615384,1.832956314086914,4.632404804229736,-0.025415770363236723,0.14714862310211174,0.0767033170743649,0.06131971605365986
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,10,2,140,20,78,1400,100,780,16,0.5243589743589744,1.853169560432434,4.682778358459473,-0.03656609329344018,0.1262108008195355,0.08943394593723232,0.07058897545712006
sidhu,clip-vit-b32,abstract,beauty,within,4,regression,,3,140,20,78,0,0,780,53,0.5794871794871795,1.7490966320037842,4.8170952796936035,-0.4301781331408505,0.1579825244116364,0.20031539573118254,0.1415461152031957
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,1,3,140,20,78,140,20,780,25,0.5538461538461539,2.1234169006347656,6.496696949005127,-0.9288455354896914,0.10676769133851849,0.12142115787369952,0.0888274090305769
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,2,3,140,20,78,280,40,780,23,0.5602564102564103,2.1090736389160156,6.656468868255615,-0.9762812446800899,0.2038385698797356,0.13393284979156644,0.09893784583080516
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,3,3,140,20,78,420,60,780,26,0.5705128205128205,2.2875821590423584,7.206034183502197,-1.1394455214475534,0.2575601858115988,0.19024187967423326,0.13937959303171824
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,4,3,140,20,78,560,80,780,18,0.5256410256410257,2.0997695922851562,6.286558628082275,-0.8664563312295614,0.18570385016937507,0.13258543681579615,0.10760393451671511
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,5,3,140,20,78,700,100,780,16,0.6012820512820513,2.0463130474090576,5.939159870147705,-0.763314826004794,0.2913525722324266,0.2366313835543245,0.17332177371819885
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,6,3,140,20,78,840,100,780,19,0.5756410256410256,2.105872631072998,6.265538692474365,-0.8602155616253186,0.22055573189572897,0.19187160774968876,0.13721307086024076
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,7,3,140,20,78,980,100,780,18,0.5564102564102564,2.1672215461730957,6.976310729980469,-1.0712411026014586,0.2806211981442175,0.2044731271992737,0.15093437794626482
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,8,3,140,20,78,1120,100,780,16,0.5807692307692308,2.1641199588775635,6.741445064544678,-1.0015106634140727,0.23861417795342277,0.1734184662339014,0.12926915623148996
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,9,3,140,20,78,1260,100,780,17,0.5897435897435898,2.1821882724761963,6.706058025360107,-0.9910039261979717,0.2941457482370424,0.23860758925212097,0.17621046994683548
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,10,3,140,20,78,1400,100,780,16,0.55,2.179995059967041,6.770175457000732,-1.0100400346959453,0.22567863672156818,0.17008201505580356,0.12421393783137584
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,1,3,140,20,78,140,20,780,28,0.5769230769230769,2.105652332305908,6.4867024421691895,-0.9258784050130484,0.1456328794010915,0.15991867146713626,0.11627002320262506
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,2,3,140,20,78,280,40,780,22,0.5807692307692308,2.1036739349365234,6.526518821716309,-0.9376996797231869,0.2571362315538863,0.17463755416436022,0.1285469821743308
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,3,3,140,20,78,420,60,780,17,0.5717948717948718,2.2336032390594482,7.048958778381348,-1.0928104259879596,0.24219777466350934,0.2213607031622613,0.16898872937524387
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,4,3,140,20,78,560,80,780,18,0.5333333333333333,2.1082818508148193,6.383707523345947,-0.8952995970824116,0.22368890696088783,0.1490110426156625,0.10904828263103343
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,5,3,140,20,78,700,100,780,16,0.5923076923076923,2.0374152660369873,5.909853458404541,-0.7546140757620912,0.2868961833883077,0.21657417897214398,0.1567117704035381
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,6,3,140,20,78,840,100,780,17,0.5820512820512821,2.1156959533691406,6.149664878845215,-0.8258132272817309,0.25364658069156576,0.1987626626829139,0.14515698548899153
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,7,3,140,20,78,980,100,780,16,0.5846153846153846,2.025390863418579,6.029834270477295,-0.7902357657224586,0.24857600474740593,0.23424453771153145,0.1682665553180847
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,8,3,140,20,78,1120,100,780,16,0.5769230769230769,2.063215732574463,6.0601301193237305,-0.7992305917793028,0.24427220738471078,0.17258435343937695,0.12638046000285333
