dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,6,2,140,20,76,840,100,760,16,0.6684210526315789,1.2262277603149414,2.098956346511841,0.13962286844553884,0.4860486342367949,0.4745229208555805,0.35169553692436983
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,7,2,140,20,76,980,100,760,16,0.7315789473684211,1.1877089738845825,1.9443597793579102,0.20299325345718788,0.5686417256583809,0.5696860173085756,0.4216502776022226
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,8,2,140,20,76,1120,100,760,16,0.743421052631579,1.0811426639556885,1.7721548080444336,0.27358129776198237,0.5752781711853459,0.5732996298509707,0.4462497468515774
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,9,2,140,20,76,1260,100,760,16,0.7552631578947369,1.1762895584106445,1.9500066041946411,0.20067865393375994,0.5725383363424044,0.571673504206893,0.43010634515668833
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,10,2,140,20,76,1400,100,760,16,0.7236842105263158,1.1218023300170898,1.805100917816162,0.2600763746112994,0.5882657765996555,0.586975763472958,0.44394354660945046
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,3,140,20,76,0,0,760,34,0.5842105263157895,2.2351794242858887,7.71518087387085,-1.877252018696732,0.18660606883895525,0.18285812610606747,0.1357386127158641
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,3,140,20,76,140,20,760,28,0.7144736842105263,1.112421989440918,1.9305683374404907,0.2800256870839165,0.5386749139734093,0.49483347212095885,0.38568223386405576
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,3,140,20,76,280,40,760,16,0.7013157894736842,1.1581977605819702,2.0447542667388916,0.237441913972275,0.5026462818132131,0.4633119625868964,0.35799617121379457
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,3,140,20,76,420,60,760,16,0.7157894736842105,1.1164189577102661,1.8750050067901611,0.3007470757102264,0.5628989406309302,0.5452929154818377,0.4118301819226358
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,3,140,20,76,560,80,760,16,0.7157894736842105,1.0992188453674316,1.892874836921692,0.29408275228409053,0.5524464186778459,0.5003257510208065,0.3810678900890122
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,3,140,20,76,700,100,760,17,0.6986842105263158,1.1923494338989258,2.075587511062622,0.22594318354463205,0.5313548355443345,0.4683175838627069,0.35261277014291037
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,3,140,20,76,840,100,760,16,0.7276315789473684,1.1976971626281738,2.0253922939300537,0.2446625070569528,0.5975842547809407,0.5575984011182054,0.42413509865608523
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,3,140,20,76,980,100,760,16,0.6907894736842105,1.1543407440185547,2.0252301692962646,0.2447230302203376,0.4972846481559827,0.4580560602472953,0.34107691070530155
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,3,140,20,76,1120,100,760,16,0.7236842105263158,1.2312994003295898,2.0872559547424316,0.22159152396098747,0.5431664084871954,0.5158848904864509,0.39029657763909925
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,3,140,20,76,1260,100,760,18,0.7144736842105263,1.1302400827407837,1.8787572383880615,0.29934782394916415,0.5859154078352731,0.5366860277881524,0.40875395273927345
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,3,140,20,76,1400,100,760,16,0.7131578947368421,1.1551774740219116,1.9465041160583496,0.274082656706506,0.5539655963330006,0.5253121438892274,0.3933728068224616
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,3,140,20,76,140,20,760,24,0.718421052631579,1.1036869287490845,1.8462086915969849,0.3114862231040838,0.5699214206106262,0.530470714704021,0.4064467808517517
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,3,140,20,76,280,40,760,16,0.7131578947368421,1.1182584762573242,1.9338839054107666,0.27878915792762615,0.5487134972659078,0.5212103153437715,0.3987562078933458
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,3,140,20,76,420,60,760,16,0.7157894736842105,1.1044172048568726,1.8525279760360718,0.30912962420079093,0.5753905227984433,0.5460298541696654,0.41336829651431695
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,3,140,20,76,560,80,760,16,0.7078947368421052,1.1146398782730103,1.914341926574707,0.2860771151830155,0.5404191780398833,0.46798387577765294,0.3626105149888381
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,3,140,20,76,700,100,760,16,0.7263157894736842,1.224989652633667,2.1189887523651123,0.20975727707256664,0.5477373185558463,0.5204594721524,0.3987562078933458
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,6,3,140,20,76,840,100,760,16,0.7381578947368421,1.1880853176116943,1.9975265264511108,0.25505477312975566,0.6030645312723664,0.5841699073906329,0.4433615310521
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,7,3,140,20,76,980,100,760,16,0.6907894736842105,1.1867984533309937,2.2224910259246826,0.1711577675799847,0.4720058110106038,0.442483016278107,0.3349244523385769
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,8,3,140,20,76,1120,100,760,16,0.7302631578947368,1.1458406448364258,1.9113578796386719,0.2871899856583072,0.5829193682500318,0.5403707212272908,0.41336829651431695
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,9,3,140,20,76,1260,100,760,16,0.7118421052631579,1.1687549352645874,1.989516258239746,0.25804203603184517,0.5836465371976374,0.5179010435003191,0.4110611246267952
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,10,3,140,20,76,1400,100,760,16,0.7276315789473684,1.213030219078064,2.082918167114258,0.22320935342796833,0.5959560226317535,0.5672898400883162,0.4349019007978535
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,4,140,20,76,0,0,760,58,0.6723684210526316,1.6583784818649292,4.1608123779296875,-1.0380639863875896,0.5012072229583282,0.44555258966572,0.3374163999854808
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,4,140,20,76,140,20,760,16,0.618421052631579,1.0768883228302002,1.7902764081954956,0.12308026050158816,0.4155517914950906,0.3681902996024261,0.27755219998805675
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,4,140,20,76,280,40,760,18,0.7447368421052631,0.9531283378601074,1.415299415588379,0.3067529519559866,0.5626831348017731,0.5655074442654859,0.4392632856953839
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,4,140,20,76,420,60,760,19,0.6763157894736842,1.072931170463562,1.7968143224716187,0.11987796090580971,0.42879889813411864,0.4172925837433574,0.3102053999866517
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,4,140,20,76,560,80,760,17,0.6934210526315789,1.1067326068878174,1.8458478450775146,0.09586008926187284,0.4473259996739216,0.43182071333270844,0.3241996285574781
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,4,140,20,76,700,100,760,25,0.7157894736842105,1.0913668870925903,1.6944468021392822,0.17002009825494657,0.5460219069559571,0.5206099360922418,0.4035002571254943
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,4,140,20,76,840,100,760,18,0.6578947368421053,1.0474945306777954,1.6911782026290894,0.17162092205681545,0.47527464286758914,0.419765159644622,0.3195348857005359
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,4,140,20,76,980,100,760,22,0.7118421052631579,1.0078215599060059,1.570125699043274,0.2309153262545749,0.5093818989334977,0.4722619971415267,0.3615175714130151
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,4,140,20,76,1120,100,760,21,0.7131578947368421,1.0958610773086548,1.800559163093567,0.11804362761231302,0.5492680313382152,0.4996838417414266,0.3832863714120784
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,4,140,20,76,1260,100,760,17,0.7473684210526316,0.9898156523704529,1.4352340698242188,0.29698846777885535,0.5467325128349785,0.5213503119270837,0.3965031428400811
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,4,140,20,76,1400,100,760,16,0.7039473684210527,1.066182017326355,1.7104454040527344,0.1621833708509146,0.5180141189448477,0.4918470333764018,0.37862162855513626
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,4,140,20,76,140,20,760,16,0.6131578947368421,1.0957711935043335,1.8554139137268066,0.09117446536361473,0.3880839306175403,0.3433108776806626,0.2542284857033461
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,4,140,20,76,280,40,760,18,0.7289473684210527,0.9723057746887207,1.4647462368011475,0.2825327340177145,0.5503042672789888,0.5344256285574995,0.406610085696789
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,4,140,20,76,420,60,760,16,0.6486842105263158,1.105494737625122,1.9207733869552612,0.05915981333753062,0.4052460943003098,0.36758961732132794,0.27210999998829094
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,4,140,20,76,560,80,760,18,0.6736842105263158,1.0894277095794678,1.7847195863723755,0.12580223023391723,0.4436813306165277,0.4260234308523424,0.3148701428435938
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,4,140,20,76,700,100,760,18,0.7210526315789474,1.0969716310501099,1.7190818786621094,0.1579531194262761,0.535630011716421,0.5077441597924416,0.38717365712619684
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,6,4,140,20,76,840,100,760,17,0.656578947368421,1.0596435070037842,1.7135692834854126,0.1606533448658728,0.47409032307041343,0.4437365734670511,0.33819385712830446
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,7,4,140,20,76,980,100,760,16,0.6934210526315789,1.0111862421035767,1.5213876962661743,0.25478839573124046,0.5072040413942887,0.4526629915512773,0.33663894284265705
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,8,4,140,20,76,1120,100,760,17,0.7157894736842105,1.0410990715026855,1.6579217910766602,0.1879107138856675,0.566851643674454,0.5242838765557026,0.4027227999826706
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,9,4,140,20,76,1260,100,760,16,0.7065789473684211,0.9970263242721558,1.5550369024276733,0.23830614052333676,0.5023379805215882,0.4732957294392305,0.3615175714130151
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,10,4,140,20,76,1400,100,760,16,0.7052631578947368,1.0177756547927856,1.5976366996765137,0.21743987296902956,0.5215888543971232,0.49825896749324033,0.37862162855513626
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,5,140,20,76,0,0,760,43,0.6407894736842106,1.7142179012298584,4.8437275886535645,-0.819193122646743,0.36673863261239603,0.3156430166250173,0.24414254709353508
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,5,140,20,76,140,20,760,16,0.6960526315789474,1.2267744541168213,2.2096893787384033,0.17009137744250946,0.4436662179496125,0.4574742915937668,0.33652080815595375
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,5,140,20,76,280,40,760,20,0.6973684210526315,1.2438472509384155,2.26278018951416,0.1501515588340998,0.4620578175999981,0.49590671269597225,0.3605857333066678
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,5,140,20,76,420,60,760,16,0.7078947368421052,1.2341878414154053,2.0911855697631836,0.21459868361971424,0.46538301272084936,0.45729274309292056,0.3489414146853546
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,5,140,20,76,560,80,760,16,0.6947368421052632,1.3282482624053955,2.523475408554077,0.05224037035203244,0.45336153725656914,0.4811035272423611,0.35282285422579235
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,5,140,20,76,700,100,760,16,0.7052631578947368,1.1959178447723389,2.1323883533477783,0.19912386470072208,0.5177686227434606,0.5135029520087553,0.3807692189169442
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,5,140,20,76,840,100,760,16,0.6789473684210526,1.2634693384170532,2.288997173309326,0.1403051008483065,0.41931794844509795,0.42446039497835486,0.31633732254567737
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,5,140,20,76,980,100,760,16,0.7394736842105263,1.1524019241333008,1.9202197790145874,0.27880940948997657,0.5481406968317515,0.5731067213634838,0.42889906921837245
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,5,140,20,76,1120,100,760,19,0.7381578947368421,1.0990290641784668,1.9710581302642822,0.2597157877825266,0.5460274678061978,0.529144053620118,0.40793929570000853
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,5,140,20,76,1260,100,760,16,0.7105263157894737,1.1822397708892822,2.1126017570495605,0.20655517490896724,0.5012727826688206,0.5155279160566549,0.3908609617220824
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,5,140,20,76,1400,100,760,30,0.6828947368421052,1.258989691734314,2.4806549549102783,0.06832288750531768,0.5107215873158566,0.5107238634188792,0.37611149146841893
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,5,140,20,76,140,20,760,25,0.7026315789473684,1.1330876350402832,1.9130507707595825,0.281502034148185,0.5440333063415892,0.5482066462089661,0.4125970231485338
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,5,140,20,76,280,40,760,20,0.6921052631578948,1.2193645238876343,2.297069549560547,0.13727326419460284,0.4848453176673502,0.48829564092972877,0.3636908849390181
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,5,140,20,76,420,60,760,16,0.7118421052631579,1.1993732452392578,2.082993745803833,0.2176752660128306,0.47245765461809697,0.46983355492060247,0.35282285422579235
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,5,140,20,76,560,80,760,35,0.7421052631578947,1.1115130186080933,2.0309321880340576,0.23722842635576968,0.5721283664497605,0.5656771980980865,0.4304516450345475
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,5,140,20,76,700,100,760,16,0.6802631578947368,1.2182430028915405,2.1764771938323975,0.18256494107471155,0.49092590745567577,0.4855305176091486,0.35592800585814255
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,6,5,140,20,76,840,100,760,16,0.6513157894736842,1.284241795539856,2.339282274246216,0.1214190345816406,0.38771207046011114,0.38587435591389496,0.27985179086556244
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,7,5,140,20,76,980,100,760,16,0.7328947368421053,1.1546589136123657,1.8939054012298584,0.28869254433482117,0.5468642234191066,0.5496869647543274,0.41337331105662134
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,8,5,140,20,76,1120,100,760,17,0.7289473684210527,1.1601983308792114,1.912042498588562,0.2818806322311017,0.5455437757918844,0.5319510727485858,0.3955186891706077
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,9,5,140,20,76,1260,100,760,16,0.7302631578947368,1.1337027549743652,1.894667148590088,0.28840648599646346,0.5717273066475173,0.5832455068722778,0.43433308457498526
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,10,5,140,20,76,1400,100,760,16,0.6947368421052632,1.1863173246383667,2.0049993991851807,0.24696813320847055,0.5264374905164004,0.5513348665312388,0.40250528034339567
sidhu,clip-vit-b32,representational,beauty,within,3,regression,,6,140,20,76,0,0,760,80,0.7302631578947368,1.3113535642623901,2.442105770111084,-0.011299374125182782,0.5017940943798749,0.5358882794169818,0.39467314824994415
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,1,6,140,20,76,140,20,760,19,0.6776315789473685,1.2722052335739136,2.3016345500946045,0.04687108154800357,0.42758324386340973,0.4034674724308758,0.2952340151947825
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,2,6,140,20,76,280,40,760,19,0.6986842105263158,1.3022761344909668,2.513908624649048,-0.04103356361893451,0.4321114767672043,0.44459332927589884,0.3353180068139174
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,3,6,140,20,76,420,60,760,27,0.7289473684210527,1.0899057388305664,1.6907073259353638,0.2998619695282493,0.5808351622290502,0.5739255231971893,0.4309029099057008
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,4,6,140,20,76,560,80,760,19,0.7223684210526315,1.1487218141555786,1.9440832138061523,0.19493662631470443,0.5246811316392268,0.5378638787647468,0.40083991619134957
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,5,6,140,20,76,700,100,760,16,0.725,1.1686476469039917,1.9320642948150635,0.19991370524124152,0.5168165462446268,0.5355961133162561,0.4016107621840252
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,6,140,20,76,840,100,760,19,0.7539473684210526,1.1013034582138062,1.7398701906204224,0.27950312133756827,0.5974240356063092,0.6247345993805533,0.47252859351018706
