Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Average
115,7,6,7,2,7,5,6,8,9,6,4,5,4,7,9,2,5,3,5,4,2,1,7,6,3,8,5,4,6,9,4,1,7,7,7,5,6,4,7,7,7,8,4,9,7,5,7,5,4,5.571428571428571
116,4,7,6,8,5,5,4,6,8,6,1,5,3,6,8,1,6,8,1,8,5,3,6,5,5,4,4,6,6,7,4,1,7,4,2,5,6,4,6,5,7,7,4,9,7,3,6,5,6,5.204081632653061
117,7,5,5,2,5,4,4,6,8,6,1,4,3,6,3,3,2,4,1,3,2,1,6,4,4,4,6,2,4,4,3,1,6,7,1,6,5,4,7,6,2,4,3,7,7,3,5,4,6,4.204081632653061
118,7,3,9,6,3,5,2,2,8,6,8,4,8,6,4,5,5,7,6,3,6,1,6,5,4,4,5,5,7,4,6,9,3,8,3,6,7,1,5,8,2,9,2,6,5,3,5,4,6,5.142857142857143
119,2,3,7,1,4,3,6,3,8,7,2,5,8,6,8,4,5,5,1,2,1,1,5,3,6,1,6,2,4,5,3,1,3,9,2,5,6,3,7,4,5,8,4,7,5,4,5,5,4,4.36734693877551
120,4,7,6,1,3,5,3,3,6,5,1,5,9,6,5,6,4,5,1,4,3,1,5,3,3,4,4,1,4,4,3,2,5,2,1,3,4,1,6,4,3,9,4,7,4,5,5,4,6,4.061224489795919
121,7,3,6,5,4,5,8,8,8,7,2,6,3,5,6,1,4,3,8,6,3,1,8,7,3,6,5,4,4,9,6,1,6,5,5,6,6,4,6,7,6,8,3,9,7,6,7,7,6,5.428571428571429
122,8,8,6,2,7,6,8,5,9,6,2,5,3,6,5,2,4,9,8,7,2,1,6,5,5,6,7,2,7,8,5,1,6,8,2,5,6,5,6,4,6,7,4,9,7,5,6,6,5,5.469387755102041
123,6,7,7,2,6,5,9,6,8,7,1,5,8,6,8,2,5,1,6,4,2,3,5,5,6,6,5,4,4,8,3,1,8,6,6,8,4,2,7,5,6,8,4,9,7,4,6,5,6,5.346938775510204
124,7,9,8,1,5,6,6,3,8,7,2,5,7,7,4,2,6,1,6,3,1,6,6,4,5,3,4,2,3,9,3,1,6,8,7,6,4,2,6,3,5,8,3,9,6,6,6,8,5,5.061224489795919
