Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Average
80,7,8,4,6,2,2,4,3,6,2,9,9,1,4,1,8,5,6,7,6,6,6,2,8,2,5,4,8,7,6,9,8,7,7,7,5,8,7,6,8,5,6,9,5.720930233
81,3,2,4,4,4,3,7,4,4,4,5,6,3,5,8,3,8,2,5,6,2,1,1,1,2,1,4,1,6,8,1,6,5,8,6,6,8,6,3,3,1,2,1,4.023255814
82,7,2,3,8,7,3,3,2,4,3,2,6,2,8,6,3,8,2,4,6,4,3,5,2,1,5,6,5,5,6,4,8,4,7,4,6,8,4,7,7,1,3,9,4.720930233
83,7,5,2,3,3,2,5,6,1,2,8,6,3,9,2,3,7,4,6,7,4,1,1,2,1,1,3,9,7,5,7,7,5,8,9,5,2,7,6,8,1,8,9,4.813953488
84,3,1,2,6,4,4,6,3,2,2,1,8,6,4,5,3,5,3,3,6,1,3,1,2,1,3,5,1,7,6,1,6,4,6,3,6,5,8,1,6,1,2,9,3.837209302
85,8,5,2,6,2,5,8,1,4,5,8,7,3,7,7,3,7,4,7,5,7,1,1,2,2,1,3,1,7,4,6,8,8,8,8,7,3,7,5,1,1,8,9,4.930232558
86,7,3,8,7,4,6,5,2,1,3,3,4,3,9,6,6,6,3,6,6,3,2,2,1,2,8,1,1,6,4,3,4,6,8,9,7,9,9,8,1,1,9,9,4.906976744
87,8,1,6,9,4,1,3,1,7,1,7,4,1,3,3,4,4,7,4,7,2,2,1,4,5,4,3,8,4,7,3,7,4,7,6,4,9,1,6,4,5,7,9,4.581395349
88,5,1,5,8,2,3,2,2,5,3,2,5,1,8,5,7,8,3,4,4,2,7,1,3,3,5,2,8,6,4,7,8,3,6,5,6,1,6,8,2,1,3,9,4.395348837
89,2,4,2,8,1,3,5,1,4,1,5,6,1,3,1,4,6,4,1,3,1,6,1,2,3,3,1,5,4,4,1,6,2,5,8,6,5,7,6,8,1,6,9,3.837209302
90,3,2,7,6,4,3,6,6,6,2,7,3,6,9,8,2,7,1,3,6,3,2,1,7,3,7,2,5,9,5,6,7,5,6,5,6,9,6,6,3,1,6,9,5.023255814
91,6,7,7,3,7,3,6,5,8,2,7,6,4,5,3,6,2,5,6,6,6,6,4,3,2,8,5,5,8,6,6,6,6,6,9,5,5,8,5,9,2,7,9,5.581395349
92,5,6,7,6,7,2,8,4,7,4,9,4,6,5,7,6,1,7,7,6,6,9,1,4,5,7,6,9,7,6,7,4,5,5,5,6,8,8,6,7,8,3,9,5.930232558
93,6,1,2,7,3,5,4,1,5,1,7,6,3,8,5,1,8,4,3,6,5,6,1,2,1,2,3,1,3,6,2,7,6,7,3,6,7,8,6,2,1,3,5,4.162790698
94,2,5,6,7,8,2,5,1,4,2,9,7,2,8,1,9,3,5,6,6,5,4,5,2,2,6,2,7,4,5,6,6,8,5,5,3,9,1,5,7,6,4,9,4.976744186
95,4,7,8,6,8,3,5,4,4,1,9,7,5,7,1,9,2,4,6,4,8,8,4,7,4,7,6,9,1,5,9,7,4,6,6,6,7,8,5,9,5,3,9,5.744186047
96,4,2,3,6,2,4,7,1,6,1,5,6,2,9,1,3,5,5,4,6,7,3,1,2,1,6,6,1,8,8,5,7,5,5,5,6,5,8,2,3,1,4,9,4.418604651
97,6,6,7,8,2,2,7,3,2,2,7,6,1,2,1,8,4,8,5,5,4,7,1,2,3,4,2,6,8,4,8,8,2,5,8,7,2,2,3,7,2,7,9,4.720930233
98,5,5,3,8,6,2,5,2,6,2,5,6,5,7,3,9,7,3,6,5,6,8,1,2,1,6,4,1,3,5,2,7,4,5,7,6,1,7,3,5,7,2,9,4.697674419
99,2,2,6,8,5,3,7,4,6,2,4,7,1,8,2,6,3,3,5,6,6,3,1,8,3,5,6,8,4,7,7,6,4,5,6,3,8,6,6,4,1,3,4,4.744186047
100,4,2,4,6,7,3,4,2,7,1,7,3,1,8,3,6,2,2,5,4,1,1,6,3,1,1,4,2,3,6,3,8,5,6,6,5,8,6,3,5,5,4,9,4.23255814
101,4,7,6,8,5,5,7,1,4,2,4,4,1,5,1,6,4,1,6,7,6,6,5,2,1,4,2,2,4,5,2,7,5,5,7,3,6,4,4,4,1,8,9,4.418604651
102,6,1,2,7,4,1,5,2,6,5,7,1,2,8,6,8,5,3,5,4,1,7,3,2,1,2,2,5,3,5,5,7,2,5,9,4,4,7,2,5,1,4,9,4.255813953
103,5,2,3,3,2,4,5,3,4,3,2,6,2,8,2,8,5,4,4,5,6,4,1,2,2,2,3,2,4,4,2,7,5,5,9,3,9,4,3,2,2,7,9,4.11627907
104,4,6,2,5,7,1,4,6,6,2,3,2,1,6,2,7,6,7,5,4,7,9,1,1,2,6,4,1,6,2,6,8,8,6,9,5,2,7,3,7,1,7,9,4.720930233
105,7,1,9,9,7,5,4,2,8,4,5,8,4,5,9,2,9,7,7,3,4,1,6,1,3,7,1,1,9,4,1,7,7,8,9,6,7,8,6,3,1,9,9,5.418604651
106,3,1,6,3,4,3,3,1,6,1,6,8,3,9,9,3,5,8,5,6,3,1,1,2,2,2,3,1,8,5,6,7,5,8,6,6,9,9,5,5,1,7,9,4.744186047
107,3,3,4,4,3,3,5,2,3,2,4,3,2,9,3,4,6,2,5,6,5,2,1,2,1,3,1,2,6,5,2,7,5,5,9,5,2,6,8,1,3,8,9,4.046511628
108,8,2,5,3,5,2,2,2,5,3,6,2,2,4,2,7,7,5,6,7,1,2,5,3,2,4,2,6,5,5,2,8,6,6,8,5,3,3,4,8,4,4,3,4.279069767
109,6,2,4,6,2,1,3,1,4,2,5,2,1,6,1,8,2,2,4,6,3,5,1,4,1,3,4,7,4,4,4,6,6,5,5,4,3,7,4,5,2,4,9,3.906976744
110,3,2,6,8,2,4,4,3,1,2,4,5,4,7,6,2,5,7,4,6,6,1,1,3,2,7,3,1,7,4,2,7,7,8,5,6,4,3,7,3,1,9,6,4.372093023
111,7,1,2,7,3,3,5,1,5,2,5,6,3,5,7,2,5,4,6,6,2,1,1,3,2,1,3,2,3,6,2,6,5,7,4,4,2,1,5,1,1,3,9,3.697674419
112,3,6,3,8,2,4,7,2,1,2,3,4,8,3,2,2,4,5,6,6,2,3,1,2,1,2,2,1,8,4,3,8,5,8,6,6,5,8,6,7,1,9,9,4.372093023
113,4,6,3,5,7,2,6,7,8,2,7,3,6,9,1,6,6,7,6,6,4,2,2,1,1,3,5,9,8,6,6,3,4,7,8,4,3,7,5,6,8,4,9,5.162790698
114,4,1,2,9,5,1,2,6,4,2,5,1,1,5,1,6,3,5,6,6,8,2,1,4,1,3,6,1,6,4,2,8,5,7,9,5,3,8,4,4,2,4,9,4.209302326
115,6,2,2,6,1,3,2,6,3,2,5,8,2,8,5,3,6,3,3,6,6,3,1,2,2,3,2,1,6,5,3,7,6,7,4,7,9,7,5,3,2,8,6,4.348837209
116,3,1,4,5,6,2,6,3,6,2,5,7,1,5,8,1,8,5,5,6,3,1,1,2,1,3,3,2,4,7,1,7,5,7,8,6,2,8,4,7,1,3,9,4.279069767
117,4,1,5,9,3,4,3,2,2,2,6,6,6,2,6,3,3,4,5,6,2,1,1,2,2,2,2,2,4,4,1,8,5,8,8,6,9,1,6,5,5,3,9,4.139534884
118,6,5,2,6,2,3,5,4,2,1,1,7,1,8,3,3,6,2,4,6,1,1,4,2,1,2,1,1,7,5,2,8,5,7,5,6,9,3,5,2,1,6,9,3.953488372
119,5,2,2,3,2,2,3,8,5,2,2,1,2,7,2,7,4,2,5,6,3,1,1,4,2,2,1,3,3,6,2,7,6,6,9,5,2,8,1,2,4,8,9,3.88372093
120,4,3,3,6,1,2,2,1,3,1,5,4,2,4,5,3,3,6,5,4,2,3,5,2,1,1,1,2,6,4,1,7,6,6,3,4,9,7,5,5,1,3,9,3.720930233
121,4,2,3,6,2,5,1,5,1,2,5,2,6,4,6,7,8,3,5,6,3,1,5,7,2,8,3,1,9,4,1,9,5,8,8,7,5,2,2,4,1,7,9,4.511627907
122,5,1,3,7,1,1,4,3,3,1,6,1,1,4,1,2,5,2,5,7,2,2,1,3,2,2,1,1,5,5,1,8,3,6,5,7,9,1,3,4,1,8,9,3.534883721
123,6,3,3,2,4,1,1,2,5,2,4,2,2,8,3,2,4,2,5,6,1,1,1,2,1,1,3,1,3,5,3,5,5,7,4,3,5,5,5,3,2,7,3,3.325581395
124,4,2,4,3,7,5,6,1,5,1,8,6,3,7,7,3,8,2,4,6,6,1,5,1,2,4,2,1,7,5,5,5,7,9,6,5,3,6,4,2,1,3,1,4.255813953
125,6,2,2,9,4,4,4,3,5,1,5,8,2,7,7,2,7,2,5,6,3,1,6,1,2,1,3,1,4,5,3,6,5,8,2,6,2,1,3,2,1,8,9,4.046511628
126,2,2,6,4,4,4,6,2,4,2,5,6,2,8,5,6,8,5,4,6,8,1,7,4,2,3,2,1,5,5,3,5,6,7,5,7,8,6,5,6,1,8,9,4.76744186
127,7,2,6,9,3,4,7,1,4,2,1,6,2,8,7,1,8,3,5,6,5,2,1,3,2,2,2,5,4,5,3,4,7,8,6,5,3,6,3,5,1,9,9,4.465116279
128,3,1,2,9,2,3,4,7,4,2,3,7,2,9,6,3,6,5,5,6,3,2,1,2,1,3,4,3,3,6,2,7,5,6,4,7,2,8,5,3,1,6,9,4.23255814
129,6,1,3,9,3,4,4,2,6,3,5,6,7,8,5,5,9,3,7,7,3,1,5,2,6,3,3,5,6,6,4,6,7,8,7,6,5,9,6,1,3,6,9,5.11627907
130,4,7,4,4,5,3,5,2,3,3,4,6,5,9,1,7,5,5,6,6,6,3,1,2,2,6,2,1,3,2,7,7,5,5,7,6,4,6,6,9,2,6,9,4.674418605
131,8,2,7,5,2,2,3,4,3,1,4,8,4,4,5,6,6,3,4,6,2,4,1,3,4,4,5,6,5,5,6,7,5,6,5,3,9,8,2,3,5,2,9,4.558139535
132,7,1,3,3,4,3,6,1,1,3,4,7,4,8,6,2,8,3,5,6,2,2,1,1,1,1,1,1,3,5,1,8,5,9,4,4,8,6,6,7,1,8,9,4.162790698
133,5,7,6,9,7,7,7,3,6,1,8,8,2,5,8,6,8,8,7,6,5,8,1,6,8,9,5,9,9,3,6,6,8,7,4,8,4,7,9,7,7,9,9,6.465116279
134,8,6,1,4,4,1,5,1,1,2,7,1,1,7,1,9,7,2,5,3,3,3,1,2,2,4,1,5,5,4,1,6,5,7,7,4,1,1,2,5,1,4,9,3.697674419
135,8,2,2,5,2,2,4,3,4,3,2,4,7,9,1,2,4,3,7,7,7,2,1,5,1,4,1,5,5,5,3,5,7,7,2,7,1,8,5,4,1,8,9,4.279069767
136,7,3,3,7,2,6,3,2,2,3,1,6,4,3,5,2,7,4,5,6,2,2,5,4,3,2,1,4,9,4,4,8,3,7,7,2,8,1,4,5,1,9,9,4.302325581
137,2,2,4,4,3,1,6,3,2,3,6,6,1,4,1,5,2,6,6,7,2,2,1,2,1,1,2,7,3,4,3,5,4,5,6,4,9,1,7,7,7,2,9,3.906976744
138,7,6,4,7,2,6,7,5,6,4,9,4,6,6,1,4,7,3,6,6,2,7,1,3,2,4,5,5,8,7,6,8,4,5,2,7,9,7,4,2,1,2,9,5.023255814
139,2,1,1,5,2,3,6,2,3,1,5,7,1,6,5,3,8,5,3,6,2,2,3,1,1,3,3,2,5,5,5,5,3,8,5,5,9,8,4,2,1,4,1,3.76744186
140,5,2,3,8,7,3,7,5,3,2,3,6,2,8,7,2,7,2,6,4,8,5,1,3,2,6,2,2,3,6,6,7,8,6,9,5,6,5,5,5,2,3,9,4.790697674
141,8,3,3,6,5,4,3,6,9,2,4,7,4,7,4,3,6,2,5,7,2,2,5,3,1,3,4,3,5,6,5,7,5,7,6,3,9,8,3,8,5,5,9,4.930232558
142,5,7,6,9,3,3,5,3,2,2,4,6,6,9,6,2,4,7,8,6,5,2,1,2,3,3,2,1,6,5,8,8,7,9,8,7,9,4,5,4,5,9,9,5.23255814
143,3,2,1,9,5,3,3,2,6,2,3,6,1,3,2,3,8,2,5,6,2,1,1,2,4,3,2,1,3,5,7,8,7,6,9,6,4,5,5,5,7,9,9,4.325581395
144,3,3,1,8,3,2,4,6,6,1,5,5,2,7,4,3,4,4,6,4,1,1,1,2,2,3,4,2,4,5,1,8,3,6,3,5,7,4,4,7,2,4,9,3.930232558
