representation,objective,N,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
resnet50,bradley_terry,5,0.6217569163292848,0.03981991843966674,0.7036353692412376,0.09117950116654581,0.0009008652917913878,0.15815963431309413,0.3616910645971955,0.09982035669072327,0.3456244195000804,0.10586368266204742,0.23844344036921944,0.07621046114769425
resnet50,bradley_terry,6,0.629074730094467,0.040197099038225825,0.7013820350170136,0.0966213148814958,-0.010023014255102141,0.1715889563065497,0.37330523073487143,0.10218820299644911,0.36037068519887466,0.11164947536753321,0.2502932516957139,0.08085852872278972
resnet50,bradley_terry,7,0.6198001012145749,0.04078880156768651,0.699202510714531,0.09069441325281528,0.006314283717457281,0.14283013851668686,0.3751876657852605,0.09645163947016923,0.3591491433784504,0.10269925872501476,0.25087059109936866,0.07334360202520361
resnet50,bradley_terry,8,0.6267096828609986,0.04329051127949022,0.6907787546515465,0.08291534831413487,0.021820807567708902,0.1321427050847228,0.3756014741209767,0.09353057573192632,0.3583782280601208,0.09990613952440794,0.24815379829829318,0.0721394762760552
resnet50,bradley_terry,9,0.6295774291497975,0.036125743052862466,0.6980921149253845,0.08614067125163458,0.007875754791742557,0.16573890463182472,0.38257073633922617,0.08994265728830876,0.36585344384365037,0.09295455079995264,0.2544537475089129,0.06593577608936022
resnet50,bradley_terry,10,0.6349418016194333,0.03748803911440458,0.6900548562407494,0.08449786941588301,0.02661026970785072,0.133112492116175,0.3932255178693178,0.09599330009109307,0.3855755030797752,0.09679370832005105,0.2674612635950938,0.06948210749944612
resnet50,hinge,1,0.5937887989203778,0.04161771792230317,0.7346140637993812,0.11435027900906745,-0.0803294428150538,0.277885781573489,0.2826815391421426,0.11765076053376891,0.2678438232099619,0.10777716138039742,0.18243776650049887,0.07541724446389916
resnet50,hinge,2,0.6132928475033739,0.04643194409377316,0.7319812491536141,0.12851192805979653,-0.08960355188734027,0.2860468231020892,0.3430552620052793,0.0955327165566103,0.33168801038060425,0.11297499012813444,0.22999171790022235,0.08084656106764238
resnet50,hinge,3,0.6237019230769231,0.03447597493978342,0.7202157154679298,0.10241038751710593,-0.0582718098270192,0.20662183837569295,0.3576881864389563,0.09750790603072608,0.3524863956025303,0.10027862658923943,0.24221799400962726,0.0697710004942582
resnet50,hinge,4,0.6210484143049932,0.0343130939366398,0.7111976474523545,0.09307434149486186,-0.02966118204859196,0.14267406491845042,0.3596949893840825,0.09078921007832719,0.3413939972490144,0.08798850456413458,0.23790616491094005,0.06373909648094266
resnet50,hinge,5,0.6250320512820513,0.04047807083767753,0.7000855818390846,0.09296108314808485,0.005765839077383953,0.159080167044304,0.37825648980521864,0.1106590199707502,0.35784629429943426,0.11201399328275413,0.2485512946637209,0.07987540075992916
resnet50,hinge,6,0.6260846828609987,0.03884476335661354,0.7033556073904037,0.09387632374820463,-0.014073232789632873,0.1569359325700898,0.36793159564315375,0.08884835780002236,0.3542167140835909,0.10882705562743762,0.24579429797840718,0.07840463182210049
resnet50,hinge,7,0.6157203103913631,0.04347390032925907,0.7117192804813385,0.09605012646113006,-0.032181717690819,0.18652257704077016,0.3646143985818898,0.1006115143724817,0.3517304224068677,0.1110286494151465,0.24284711356350872,0.08066649043418764
resnet50,hinge,8,0.6245951417004049,0.03929718483470648,0.7061472088098526,0.09537486342166945,-0.028776406780868864,0.18339011330450455,0.37374698885701035,0.09089297779538415,0.3560993777143861,0.09789278284073855,0.2472424710229742,0.07019636196384295
resnet50,hinge,9,0.6358577935222672,0.03235944245756511,0.6917040169239044,0.09580336797671278,0.009914702398030776,0.19382078173702125,0.39795864553774857,0.0832055911408352,0.3844112157664791,0.08857384429220042,0.26669327084733846,0.06470225653493905
resnet50,hinge,10,0.6357279014844804,0.0378687306437943,0.697423592209816,0.09304263555102159,0.0020323707827154254,0.14061078357276954,0.38487144006298996,0.0868665235536635,0.37732087372639084,0.08769287825922481,0.262191135314888,0.06539925610487818
