representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
resnet50,hinge,3,pair_accuracy,0.5655035425101214,0.6237019230769232,0.058198380566801655,0.05442307692307696,0.06289473684210534,4,4,True
resnet50,hinge,3,mae,0.9594750165939332,0.7202157154679297,-0.23925930112600333,-0.26596073657274255,-0.18914358913898469,4,4,False
resnet50,hinge,3,r2,-1.0567147583081957,-0.05827180982701918,0.9984429484811764,0.706981868637702,1.2693255059462856,4,4,True
resnet50,hinge,3,pearson,0.2206291465240838,0.35768818643895633,0.13705903991487245,0.12886399074616434,0.1461286382087906,4,4,True
resnet50,hinge,3,spearman,0.20456200160460664,0.3524863956025303,0.14792439399792368,0.1392350300914213,0.15812825350019216,4,4,True
resnet50,hinge,3,kendall,0.13984868966844316,0.24221799400962726,0.1023693043411841,0.09805170101941017,0.10934954300769474,4,4,True
resnet50,hinge,4,pair_accuracy,0.5655035425101214,0.6210484143049932,0.0555448717948718,0.04494939271255061,0.06697368421052632,4,4,True
resnet50,hinge,4,mae,0.9594750165939332,0.7111976474523544,-0.2482773691415787,-0.27446665167808537,-0.20138224959373474,4,4,False
resnet50,hinge,4,r2,-1.0567147583081957,-0.029661182048591958,1.0270535762596038,0.7270538385841303,1.3059723377390673,4,4,True
resnet50,hinge,4,pearson,0.2206291465240838,0.35969498938408256,0.1390658428599988,0.10846002323319048,0.16953759633993287,4,4,True
resnet50,hinge,4,spearman,0.20456200160460664,0.3413939972490144,0.1368319956444078,0.10128429782632284,0.1753811445731827,4,4,True
resnet50,hinge,4,kendall,0.13984868966844316,0.23790616491094005,0.09805747524249689,0.07125064497731123,0.1251343044909028,4,4,True
resnet50,hinge,5,pair_accuracy,0.5655035425101214,0.6250320512820513,0.05952850877192986,0.04860998650472337,0.07279605263157896,4,4,True
resnet50,hinge,5,mae,0.9594750165939332,0.7000855818390848,-0.25938943475484855,-0.2866728216409683,-0.2190567329525948,4,4,False
resnet50,hinge,5,r2,-1.0567147583081957,0.005765839077383952,1.0624805973855795,0.7974678307660769,1.312168808190783,4,4,True
resnet50,hinge,5,pearson,0.2206291465240838,0.37825648980521864,0.15762734328113479,0.14186657241743034,0.1758386240327297,4,4,True
resnet50,hinge,5,spearman,0.20456200160460664,0.35784629429943426,0.15328429269482766,0.12828758984174723,0.18739086749911144,4,4,True
resnet50,hinge,5,kendall,0.13984868966844316,0.24855129466372092,0.10870260499527774,0.08794821040544223,0.13469904479299372,4,4,True
resnet50,hinge,6,pair_accuracy,0.5655035425101214,0.6260846828609986,0.060581140350877194,0.058011133603238896,0.06424848178137654,4,4,True
resnet50,hinge,6,mae,0.9594750165939332,0.7033556073904037,-0.2561194092035294,-0.293168705701828,-0.20504214167594909,4,4,False
resnet50,hinge,6,r2,-1.0567147583081957,-0.01407323278963287,1.0426415255185628,0.7267266801328638,1.3363922942799535,4,4,True
resnet50,hinge,6,pearson,0.2206291465240838,0.3679315956431537,0.14730244911906992,0.13532983180583924,0.1577786504328486,4,4,True
resnet50,hinge,6,spearman,0.20456200160460664,0.35421671408359096,0.14965471247898432,0.13699795382832325,0.1691241723178118,4,4,True
resnet50,hinge,6,kendall,0.13984868966844316,0.24579429797840718,0.105945608309964,0.09809733301365836,0.11603476837893799,4,4,True
resnet50,hinge,7,pair_accuracy,0.5655035425101214,0.615720310391363,0.050216767881241575,0.03692054655870447,0.07008097165991906,4,4,True
