Painting,Representational,BeautyRating_M,BeautyRating_SD,Liking_M,Liking_SD,Saturation,Brightness,HueSD,SaturationSD,BrightnessSD,RedLum,GreenLum,BlueLum,Luminance,AdjustedRedLum,AdjustedGreenLum,AdjustedBlueLum,Entropy,StraightEdgeDensity,NonStraightEdgeDensity,Meaningfulness,Complexity,Emotion,ColourWarmth,Vertical_Symmetry,Horizontal_Symmetry,Average_Symmetry,VerticalGrayscale_Symmetry,HorizontalGrayscale_Symmetry,AverageGrayscale_Symmetry,ColourComponent
33,1,4.73,1.89,4.1277,2.3089,0.325163086157254,0.253062848843241,0.395467576583818,0.144826196296214,0.170734625304689,64.48,53.89,42.04,55.71,1.15742236582301,0.967330820319512,0.754622150421827,6.60262091830129,0.026871476229672,0.075907690436995,4.95652173913043,5.63461538461539,4.41666666666667,4.21739130434783,0.7541,0.7782,0.7661,0.7547,0.7821,0.7684,-0.462490952
34,1,3.9,2.17,4.6383,2.6079,0.201858603788383,0.14640219270504,1.29581491954954,0.086973577392369,0.056952244145717,34.97,31.02,31.99,32.31,1.08232745280099,0.960074280408542,0.9900959455277,5.03426150872318,0.01166066821603,0.084539331783971,4.56521739130435,4.86538461538461,5.20833333333333,3.58695652173913,0.9669,0.9287,0.9478,0.9707,0.9442,0.9574,0.070069015
35,1,4.35,2.1,4.3403,2.3982,0.233170190770016,0.496071049596309,1.21868089281393,0.158481516134837,0.289935976453798,113.43,120.86,108.27,117.2,0.967832764505119,1.03122866894198,0.923805460750853,6.86632480643494,0.010604539975269,0.127744418358064,5.3695652173913,5.25,5.35416666666667,4.45652173913043,0.9611,0.7915,0.8763,0.9667,0.8018,0.8843,0.691511486
36,1,4.47,2.18,4.1702,2.2681,0.473006775522892,0.311413670100809,0.473337958986312,0.17676783996475,0.265425890261925,77.97,69.98,42.26,69.25,1.12592057761733,1.01054151624549,0.610252707581227,6.69580852059143,0.023853573368485,0.078986009964848,5.23913043478261,5.05769230769231,5.04166666666667,4.84782608695652,0.8044,0.6085,0.7064,0.8147,0.6216,0.7181,-0.35250656
37,1,4.55,2.06,4.7234,2.174,0.436255830253879,0.381065987708517,0.627195717840709,0.20176178320245,0.239871337042867,94.39,83.28,51.75,83.07,1.13627061514385,1.00252798844348,0.62296858071506,7.36872504715042,0.022560330394603,0.097425086272064,4.3695652173913,5.69230769230769,4.35416666666667,5.91304347826087,0.8218,0.7637,0.7928,0.8312,0.7797,0.8055,-0.407360031
38,1,4.53,2.04,3.9574,2.2454,0.447417380046414,0.679698952457696,0.355625434498291,0.246738295916587,0.169779939078558,172.4,136.81,101.43,143.5,1.201393728223,0.953379790940767,0.706829268292683,7.24486327231697,0.026901626555385,0.125462956777948,5.04347826086957,4.88461538461539,4.79166666666667,6.69565217391304,0.9612,0.9247,0.943,0.964,0.9509,0.9575,-0.738676386
39,1,4.37,1.95,4.3191,2.4237,0.377086101078978,0.562805340903117,0.303768064616946,0.177170906308064,0.251763564547926,143.3,121.52,93.14,124.83,1.14796122726909,0.973483938155892,0.746134743250821,7.51750390845749,0.023202036215664,0.108433380451003,4.67391304347826,5.13461538461539,3.85416666666667,5.58695652173913,0.911,0.8825,0.8967,0.9182,0.9046,0.9114,-0.414336365
40,1,4.84,2.33,4.8085,2.618,0.623522964691228,0.614246926093514,0.123580662079772,0.163598896376511,0.117054951198599,156.64,93.45,62.48,108.87,1.43878019656471,0.858363185450537,0.573895471663452,7.04672972588094,0.023719450389552,0.118872216277115,5.43478260869565,5.78846153846154,5.16666666666667,6.78260869565217,0.9288,0.9187,0.9237,0.9261,0.9258,0.926,-2.146805916
41,1,5.49,1.68,5.0851,2.1753,0.411832647931234,0.455705531475749,0.867316121498955,0.128003951007922,0.180487497005938,90.8,110.07,82.71,101.21,0.897144550933702,1.08754075684221,0.817211737970556,7.3048122695484,0.027316154974897,0.094643220025103,4.89130434782609,5.09615384615385,4.375,5.73913043478261,0.8445,0.8197,0.8321,0.8665,0.8722,0.8693,1.04389498
42,1,3.73,2.02,3.234,2.2088,0.414901535357804,0.270704783451843,0.975753447379916,0.264648778502828,0.195939731747885,68.24,44.73,30.55,50.17,1.36017540362767,0.891568666533785,0.608929639226629,6.38173669456794,0.014362231680196,0.096328393319805,4.91304347826087,4.90384615384615,5.3125,5.10869565217391,0.8019,0.726,0.7639,0.813,0.7805,0.7968,-1.684524254
