phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,2,140,20,78,560,80,780,25,3,0.6705128205128205,2.295647621154785,6.793724536895752,0.0946263973309962,0.4194294620283472,0.42340466528241927,0.31016368003886086
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,3,140,20,78,560,80,780,25,1,0.7051282051282052,2.522970676422119,7.698537826538086,0.0894121983285665,0.48435289015469607,0.5299449064602086,0.39479433963661936
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,4,140,20,78,560,80,780,25,2,0.6525641025641026,2.5282065868377686,7.757679462432861,0.03134488682696457,0.4869119227587362,0.44013058605648264,0.3213535975012878
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,5,140,20,78,560,80,780,36,16,0.6666666666666666,2.212143898010254,6.317203044891357,0.11881278925012029,0.46163529499972356,0.4459300828127436,0.3210317451104534
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,6,140,20,78,560,80,780,47,27,0.7243589743589743,2.341651439666748,6.746214389801025,0.1501580309052306,0.5338810903776903,0.5280312426957676,0.4002100786553647
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,7,140,20,78,560,80,780,25,1,0.6628205128205128,2.4987432956695557,7.565423488616943,-0.10514157838710414,0.35315552630527236,0.41746617930670255,0.30108153488729705
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,8,140,20,78,560,80,780,40,20,0.7076923076923077,2.5115394592285156,7.751533508300781,0.05452416866117504,0.5125212277635001,0.5444302342124839,0.3958365846827539
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,9,140,20,78,560,80,780,25,3,0.8038461538461539,2.3596253395080566,6.97709846496582,0.18054343826199293,0.7198845060447638,0.7340155467657049,0.557174537066361
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,0,140,20,78,700,100,780,25,3,0.7051282051282052,2.4695677757263184,7.60211181640625,0.04777967512617176,0.4878265829247539,0.49917426791317515,0.3697714200069106
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,1,140,20,78,700,100,780,27,7,0.717948717948718,2.111966133117676,5.971184730529785,0.16662029562977898,0.5445264570525978,0.5692572504760088,0.41782395419723756
